Soil Type,Previous Crop,Acre of Land,Rainfall Frequency,Porosity,Recommended Crop
Peaty,Corn,11,High,High,Soybean
Clay,Cotton,1,High,Medium,Chickpea
Sandy,Wheat,20,Medium,Low,Millets
Chalky,Mustard,14,High,High,Flaxseed
Clay,Flaxseed,12,Medium,Medium,Tea
Chalky,Lentils,6,Low,Medium,Barley
Peaty,Lentils,7,Medium,Low,Lentils
Silty,Flaxseed,10,High,Low,Rice
Clay,Peas,11,High,Low,Mustard
Loamy,Corn,10,Low,High,Peas
Peaty,Soybean,2,Medium,High,Sesame
Clay,Lentils,20,Medium,Low,Spinach
Loamy,Soybean,3,High,Low,Peas
Clay,Sunflower,19,High,Medium,Soybean
Clay,Tomato,14,Medium,Low,Potato
Silty,Corn,7,Medium,High,Rice
Sandy,Soybean,12,Medium,High,Millets
Loamy,Sesame,20,High,Low,Sunflower
Loamy,Barley,3,Low,High,Peas
Chalky,Chickpea,9,Medium,High,Barley
Loamy,Flaxseed,20,Low,Low,Sunflower
Peaty,Corn,12,Low,Low,Sesame
Chalky,Soybean,11,Medium,Low,Barley
Sandy,Chickpea,20,Medium,Low,Millets
Sandy,Sugarcane,13,High,Medium,Cotton
Loamy,Soybean,11,Low,High,Corn
Peaty,Sesame,18,Low,Low,Sesame
Sandy,Mustard,19,Medium,Low,Cotton
Sandy,Wheat,3,Low,Medium,Millets
Chalky,Soybean,13,Low,Low,Flaxseed
Loamy,Corn,1,High,Low,Corn
Peaty,Corn,14,High,High,Sesame
Loamy,Soybean,3,Low,Medium,Peas
Chalky,Peas,18,Low,Low,Barley
Sandy,Chickpea,3,High,High,Cotton
Silty,Sunflower,4,Medium,Low,Rice
Loamy,Lentils,12,Medium,Low,Peas
Chalky,Corn,10,High,High,Oats
Loamy,Cotton,15,Medium,High,Sunflower
Clay,Barley,8,Low,Medium,Rice
Silty,Tomato,4,Medium,Medium,Rice
Clay,Tomato,10,Low,Low,Chickpea
Sandy,Corn,4,Low,High,Cotton
Silty,Corn,16,Low,High,Rice
Chalky,Soybean,16,Medium,Low,Barley
Chalky,Mustard,5,High,Medium,Oats
Silty,Lentils,5,High,Medium,Soybean
Peaty,Lentils,5,High,Medium,Lentils
Silty,Barley,2,Low,Medium,Tomato
Silty,Corn,4,Medium,Medium,Rice
Peaty,Mustard,13,High,Low,Sesame
Chalky,Lentils,10,High,Low,Oats
Silty,Mustard,20,High,High,Soybean
Loamy,Lentils,17,Medium,High,Sunflower
Clay,Chickpea,13,Medium,High,Sesame
Chalky,Lentils,12,Low,Medium,Barley
Sandy,Cotton,3,High,Medium,Cotton
Silty,Sesame,16,Medium,High,Tomato
Sandy,Soybean,1,High,Low,Cotton
Silty,Mustard,17,Medium,High,Tomato
Clay,Sugarcane,8,Low,Medium,Mustard
Peaty,Sugarcane,11,Medium,Medium,Sesame
Sandy,Mustard,18,Medium,Low,Cotton
Silty,Soybean,7,High,Medium,Tomato
Silty,Sesame,5,Medium,High,Tomato
Clay,Corn,1,High,Low,Flaxseed
Clay,Soybean,3,Low,Medium,Corn
Loamy,Corn,9,Low,Low,Peas
Clay,Sunflower,1,High,High,Flaxseed
Sandy,Barley,8,High,Medium,Mustard
Loamy,Maize,15,Low,Medium,Corn
Sandy,Sugarcane,16,Medium,Low,Millets
Sandy,Wheat,8,Low,High,Millets
Silty,Mustard,6,Medium,High,Rice
Clay,Flaxseed,18,Low,Medium,Rice
Chalky,Sesame,1,Medium,Low,Oats
Peaty,Lentils,2,High,Low,Soybean
Peaty,Mustard,1,Low,Low,Lentils
Clay,Tomato,3,High,Low,Oats
Clay,Lentils,8,High,Medium,Sesame
Loamy,Sunflower,4,Medium,Medium,Corn
Sandy,Peas,17,Low,Low,Millets
Peaty,Cotton,7,Low,Low,Soybean
Sandy,Wheat,7,High,High,Mustard
Peaty,Peas,17,High,Low,Sesame
Loamy,Sugarcane,20,High,Medium,Sunflower
Sandy,Corn,4,Low,Medium,Millets
Silty,Sesame,5,Medium,Low,Soybean
Chalky,Tomato,3,Low,Medium,Flaxseed
Clay,Flaxseed,8,Medium,Medium,Sugarcane
Sandy,Lentils,20,High,Medium,Cotton
Peaty,Peas,2,High,Low,Lentils
Clay,Lentils,4,Low,Low,Flaxseed
Loamy,Cotton,7,High,High,Peas
Loamy,Wheat,13,Medium,High,Corn
Clay,Soybean,1,Medium,Low,Sunflower
Clay,Chickpea,14,High,Low,Brinjal
Chalky,Soybean,7,High,High,Oats
Silty,Mustard,12,High,Medium,Soybean
Sandy,Rice,3,Medium,Low,Cotton
Peaty,Sugarcane,18,Low,Medium,Soybean
Silty,Peas,11,Low,High,Tomato
Sandy,Chickpea,3,Low,Low,Millets
Peaty,Flaxseed,20,High,Medium,Soybean
Silty,Flaxseed,5,Low,Medium,Soybean
Peaty,Mustard,9,Low,Low,Sesame
Silty,Mustard,4,High,Medium,Soybean
Silty,Corn,9,Medium,Low,Soybean
Peaty,Soybean,10,Low,Low,Soybean
Clay,Chickpea,20,Medium,High,Wheat
Peaty,Millets,12,Medium,Medium,Sesame
Loamy,Soybean,15,High,High,Peas
Silty,Tomato,8,Medium,High,Tomato
Sandy,Mustard,1,Medium,Medium,Cotton
Loamy,Lentils,11,Low,High,Peas
Silty,Barley,5,Low,Low,Rice
Chalky,Cotton,18,Medium,Low,Barley
Silty,Soybean,11,Low,Medium,Rice
Sandy,Corn,9,Medium,Low,Millets
Loamy,Lentils,2,Low,Medium,Corn
Silty,Tomato,3,Medium,High,Tomato
Chalky,Sunflower,17,Low,Low,Barley
Peaty,Sugarcane,2,High,Low,Soybean
Sandy,Soybean,9,Medium,Low,Cotton
Silty,Sugarcane,6,Low,High,Tomato
Peaty,Mustard,1,Low,Low,Lentils
Silty,Lentils,5,Low,High,Tomato
Loamy,Chickpea,5,Low,Medium,Peas
Silty,Sesame,10,Low,Low,Soybean
Clay,Corn,4,Low,Medium,Banana
Loamy,Mustard,19,Medium,Medium,Peas
Sandy,Chickpea,5,Low,Low,Millets
Loamy,Tomato,11,Medium,Low,Corn
Peaty,Flaxseed,20,Medium,Low,Sesame
Silty,Wheat,3,Low,High,Tomato
Silty,Barley,9,Medium,Low,Rice
Loamy,Corn,5,High,Medium,Corn
Chalky,Corn,19,High,Low,Barley
Silty,Flaxseed,12,Medium,High,Rice
Chalky,Sunflower,18,Low,High,Flaxseed
Loamy,Flaxseed,15,Low,High,Sunflower
Loamy,Soybean,4,Low,High,Sunflower
Sandy,Corn,15,Low,High,Mustard
Peaty,Mustard,11,Medium,Medium,Sesame
Chalky,Barley,9,High,Medium,Oats
Chalky,Corn,11,High,Medium,Barley
Chalky,Mustard,4,Medium,Medium,Flaxseed
Chalky,Peas,2,Medium,Low,Barley
Sandy,Flaxseed,5,High,High,Millets
Sandy,Sesame,7,Low,High,Cotton
Loamy,Lentils,12,High,Low,Sunflower
Clay,Millets,8,Medium,Low,Sugarcane
Clay,Sugarcane,10,Medium,High,Grapes
Sandy,Maize,9,Low,High,Millets
Loamy,Barley,2,High,Medium,Corn
Clay,Soybean,16,Medium,High,Oats
Peaty,Maize,18,Low,Medium,Sesame
Chalky,Sunflower,9,High,High,Oats
Sandy,Lentils,9,Medium,Low,Mustard
Clay,Sugarcane,13,Low,High,Cotton
Silty,Flaxseed,5,Low,Low,Rice
Chalky,Wheat,8,Low,High,Barley
Loamy,Sesame,15,Medium,Medium,Peas
Chalky,Wheat,19,High,High,Oats
Sandy,Peas,5,High,Low,Cotton
Peaty,Sunflower,3,Medium,High,Soybean
Silty,Tomato,11,Low,Medium,Soybean
Peaty,Chickpea,1,High,Low,Soybean
Clay,Soybean,20,High,High,Lentils
Silty,Lentils,20,High,High,Soybean
Silty,Barley,19,Low,High,Rice
Clay,Soybean,2,Medium,Low,Peas
Loamy,Chickpea,7,Medium,Medium,Peas
Silty,Sunflower,15,Medium,High,Rice
Chalky,Peas,11,Medium,Low,Flaxseed
Loamy,Wheat,9,Low,High,Peas
Clay,Chickpea,1,Medium,High,Tomato
Silty,Barley,20,High,Medium,Soybean
Loamy,Sesame,16,Medium,Low,Sunflower
Chalky,Corn,12,High,High,Oats
Sandy,Lentils,14,Medium,Medium,Mustard
Loamy,Sugarcane,17,Medium,High,Sunflower
Chalky,Corn,6,High,Medium,Barley
Loamy,Lentils,2,Medium,Low,Corn
Peaty,Mustard,18,Medium,Medium,Sesame
Silty,Wheat,15,Low,Low,Rice
Clay,Lentils,9,Medium,Low,Apple
Sandy,Sunflower,1,Low,High,Cotton
Sandy,Chickpea,3,Medium,High,Mustard
Silty,Sesame,1,Low,Medium,Rice
Sandy,Lentils,14,High,High,Millets
Sandy,Soybean,2,High,Medium,Cotton
Chalky,Wheat,11,Medium,High,Oats
Silty,Wheat,18,Medium,High,Tomato
Loamy,Lentils,10,Medium,High,Sunflower
Peaty,Sunflower,6,Medium,Medium,Soybean
Peaty,Lentils,4,High,High,Lentils
Silty,Corn,13,Low,High,Soybean
Silty,Sunflower,1,Medium,High,Soybean
Loamy,Corn,20,Low,High,Peas
Peaty,Sesame,1,Low,Medium,Lentils
Clay,Sesame,18,Low,Medium,Lentils
Silty,Corn,18,High,High,Tomato
Silty,Flaxseed,13,High,Low,Tomato
Silty,Chickpea,8,Low,Low,Tomato
Sandy,Mustard,2,Low,Medium,Millets
Silty,Mustard,19,Low,Low,Tomato
Silty,Sesame,19,Low,High,Tomato
Silty,Tomato,12,Medium,Medium,Rice
Silty,Rice,15,Medium,Medium,Tomato
Clay,Mustard,10,High,High,Onion
Chalky,Soybean,9,Medium,Medium,Flaxseed
Clay,Sugarcane,5,Low,Low,Oats
Chalky,Soybean,2,Low,Low,Barley
Peaty,Soybean,13,Medium,Medium,Lentils
Peaty,Sunflower,3,Low,Low,Soybean
Silty,Sesame,7,Low,High,Tomato
Silty,Tomato,2,Low,High,Rice
Clay,Chickpea,13,High,Low,Groundnut
Chalky,Corn,14,High,Low,Oats
Chalky,Mustard,17,Medium,Low,Flaxseed
Sandy,Sugarcane,17,Medium,Low,Mustard
Chalky,Cotton,4,High,Medium,Barley
Loamy,Soybean,4,Low,Medium,Peas
Peaty,Lentils,17,High,High,Soybean
Chalky,Chickpea,10,High,Low,Barley
Sandy,Mustard,17,Low,Medium,Millets
Silty,Chickpea,11,Low,High,Soybean
Sandy,Chickpea,13,High,Low,Millets
Chalky,Soybean,3,Medium,High,Oats
Peaty,Rice,10,High,High,Sesame
Chalky,Corn,3,Low,Medium,Oats
Chalky,Flaxseed,19,Low,Low,Barley
Chalky,Tomato,9,Medium,Medium,Oats
Loamy,Wheat,17,High,High,Corn
Chalky,Mustard,9,High,Low,Oats
Sandy,Sesame,11,Low,Low,Millets
Sandy,Sugarcane,8,Medium,High,Mustard
Loamy,Barley,14,Medium,Low,Corn
Sandy,Flaxseed,1,Low,Medium,Millets
Chalky,Lentils,18,High,High,Oats
Loamy,Corn,4,High,Medium,Peas
Loamy,Sesame,6,Medium,High,Sunflower
Loamy,Barley,20,Medium,High,Corn
Clay,Mustard,19,Low,High,Grapes
Silty,Peas,3,High,Low,Rice
Chalky,Wheat,10,High,Low,Oats
Sandy,Soybean,12,High,Medium,Mustard
Chalky,Barley,18,High,High,Barley
Sandy,Sunflower,6,Medium,Low,Cotton
Chalky,Sunflower,7,High,High,Oats
Silty,Mustard,11,High,Medium,Soybean
Sandy,Wheat,4,High,High,Millets
Loamy,Soybean,9,High,Low,Peas
Silty,Corn,6,Medium,Medium,Soybean
Loamy,Barley,12,Medium,High,Sunflower
Sandy,Wheat,19,Low,Medium,Millets
Silty,Wheat,2,Medium,High,Soybean
Loamy,Barley,17,Low,Low,Sunflower
Sandy,Peas,13,Low,Medium,Mustard
Chalky,Lentils,10,High,Low,Flaxseed
Clay,Barley,11,Low,Medium,Mustard
Sandy,Sugarcane,3,High,High,Millets
Chalky,Peas,15,High,Low,Flaxseed
Clay,Sunflower,2,Medium,Medium,Spinach
Chalky,Millets,10,Medium,Low,Barley
Loamy,Wheat,17,High,Low,Corn
Silty,Peas,18,Low,High,Rice
Peaty,Rice,7,Medium,High,Sesame
Clay,Tomato,7,Medium,Medium,Garlic
Silty,Corn,19,High,Low,Soybean
Clay,Sesame,11,Low,High,Spinach
Loamy,Chickpea,15,Medium,High,Corn
Silty,Sugarcane,17,Medium,Medium,Tomato
Chalky,Sesame,11,Low,High,Oats
Loamy,Peas,15,Low,Low,Corn
Loamy,Chickpea,17,Low,Low,Sunflower
Silty,Sugarcane,18,Low,Medium,Tomato
Silty,Corn,4,Low,Medium,Soybean
Silty,Flaxseed,3,Medium,Medium,Tomato
Silty,Barley,14,Medium,Low,Tomato
Peaty,Sunflower,19,Low,Medium,Soybean
Loamy,Sugarcane,14,Medium,High,Corn
Clay,Peas,15,Low,Low,Tea
Peaty,Lentils,9,Low,High,Soybean
Chalky,Tomato,4,High,High,Oats
Clay,Peas,20,Low,Low,Brinjal
Loamy,Mustard,17,High,High,Peas
Sandy,Flaxseed,10,Low,Medium,Mustard
Peaty,Corn,10,Low,Medium,Soybean
Loamy,Tomato,19,Low,Low,Corn
Sandy,Barley,6,High,High,Millets
Loamy,Wheat,14,High,Low,Peas
Silty,Lentils,13,High,Medium,Tomato
Sandy,Sugarcane,8,High,High,Cotton
Sandy,Mustard,1,Low,Medium,Cotton
Silty,Tomato,17,Low,Low,Tomato
Chalky,Barley,18,Medium,High,Flaxseed
Clay,Sesame,9,High,Low,Tomato
Peaty,Millets,11,Low,Low,Lentils
Loamy,Chickpea,10,Medium,High,Peas
Sandy,Tomato,2,High,Low,Cotton
Silty,Chickpea,12,Low,High,Rice
Chalky,Flaxseed,1,Low,Medium,Barley
Clay,Corn,16,High,Low,Garlic
Sandy,Flaxseed,13,Medium,Medium,Mustard
Chalky,Soybean,19,Medium,Medium,Flaxseed
Clay,Flaxseed,5,High,High,Pumpkin
Loamy,Soybean,15,High,Medium,Corn
Chalky,Sesame,12,Medium,Low,Oats
Sandy,Peas,2,Medium,Low,Cotton
Peaty,Corn,17,Low,Medium,Soybean
Sandy,Sesame,18,Medium,Medium,Cotton
Loamy,Mustard,10,Low,High,Peas
Silty,Corn,20,High,Low,Rice
Chalky,Tomato,3,Low,Medium,Barley
Peaty,Peas,14,Low,Medium,Soybean
Chalky,Sunflower,6,Low,Medium,Flaxseed
Silty,Soybean,6,Low,Medium,Soybean
Silty,Soybean,6,Medium,Medium,Rice
Chalky,Tomato,13,High,High,Barley
Chalky,Sesame,19,Low,Medium,Flaxseed
Chalky,Soybean,14,Low,High,Flaxseed
Sandy,Soybean,20,Medium,Low,Cotton
Clay,Soybean,9,Medium,Medium,Brinjal
Loamy,Soybean,14,Low,Low,Corn
Clay,Lentils,20,High,Low,Cabbage
Clay,Lentils,18,High,High,Wheat
Chalky,Soybean,12,Low,Low,Barley
Chalky,Mustard,9,High,Medium,Flaxseed
Silty,Sugarcane,3,Low,High,Rice
Loamy,Lentils,4,High,Medium,Peas
Peaty,Lentils,9,Medium,Medium,Sesame
Silty,Corn,19,Low,High,Soybean
Chalky,Wheat,20,Medium,Medium,Flaxseed
Clay,Corn,18,Medium,High,Coffee
Sandy,Flaxseed,17,High,Low,Millets
Chalky,Flaxseed,10,High,Low,Oats
Loamy,Sesame,7,Medium,High,Peas
Loamy,Tomato,7,Medium,High,Sunflower
Loamy,Lentils,4,High,High,Corn
Peaty,Soybean,11,High,Medium,Soybean
Chalky,Peas,11,Medium,Low,Barley
Sandy,Wheat,4,Medium,High,Mustard
Peaty,Sugarcane,7,Low,Medium,Lentils
Silty,Flaxseed,20,Medium,Low,Soybean
Loamy,Soybean,18,High,Medium,Corn
Peaty,Mustard,4,High,Medium,Lentils
Peaty,Mustard,13,Low,Low,Sesame
Silty,Barley,12,Low,Low,Soybean
Clay,Sesame,5,High,Medium,Wheat
Silty,Mustard,5,Medium,Low,Rice
Peaty,Mustard,3,Low,Low,Sesame
Peaty,Mustard,5,High,Low,Sesame
Silty,Sunflower,13,High,Low,Rice
Peaty,Mustard,4,Low,Medium,Lentils
Chalky,Sesame,19,Low,High,Barley
Peaty,Sugarcane,5,Low,High,Sesame
Sandy,Rice,4,Low,High,Mustard
Loamy,Millets,13,High,Low,Peas
Silty,Sugarcane,1,Low,High,Rice
Sandy,Lentils,18,Low,Low,Millets
Loamy,Chickpea,8,Low,High,Sunflower
Loamy,Soybean,13,Low,High,Peas
Silty,Lentils,16,Low,Low,Soybean
Chalky,Lentils,2,High,High,Barley
Chalky,Chickpea,10,High,Low,Oats
Peaty,Corn,1,High,Low,Sesame
Peaty,Tomato,13,High,Low,Soybean
Loamy,Lentils,12,Low,High,Sunflower
Sandy,Sunflower,18,High,Medium,Mustard
Silty,Chickpea,10,High,Medium,Soybean
Clay,Sesame,3,Medium,Low,Garlic
Clay,Sunflower,4,Low,Low,Barley
Silty,Lentils,10,Medium,Medium,Rice
Sandy,Lentils,2,Low,High,Mustard
Clay,Millets,7,High,Medium,Sesame
Peaty,Soybean,2,Low,High,Sesame
Chalky,Soybean,16,Medium,High,Oats
Silty,Peas,17,High,Low,Rice
Clay,Soybean,13,High,Medium,Cabbage
Peaty,Corn,3,High,Medium,Soybean
Silty,Chickpea,20,Low,Low,Rice
Clay,Lentils,18,High,Low,Potato
Peaty,Millets,12,High,Low,Sesame
Silty,Sunflower,5,High,Low,Soybean
Loamy,Millets,17,Medium,Medium,Peas
Clay,Soybean,12,High,High,Wheat
Sandy,Soybean,10,Low,High,Mustard
Chalky,Sunflower,19,High,Low,Barley
Loamy,Flaxseed,18,Low,Medium,Sunflower
Chalky,Sugarcane,19,Medium,High,Oats
Clay,Chickpea,19,High,Low,Soybean
Clay,Lentils,4,Low,High,Tomato
Clay,Peas,4,Low,Medium,Grapes
Chalky,Soybean,14,Medium,High,Oats
Clay,Mustard,16,Medium,Medium,Garlic
Chalky,Sunflower,11,High,Medium,Oats
Loamy,Barley,9,High,Medium,Corn
Peaty,Sugarcane,7,High,Medium,Sesame
Chalky,Flaxseed,3,High,Medium,Oats
Chalky,Soybean,20,Low,Medium,Oats
Silty,Chickpea,17,High,High,Soybean
Clay,Soybean,12,High,Low,Sunflower
Loamy,Soybean,12,Low,Medium,Sunflower
Silty,Mustard,10,Medium,High,Soybean
Sandy,Lentils,10,Medium,High,Millets
Peaty,Rice,13,Low,Medium,Lentils
Loamy,Corn,16,Medium,Medium,Corn
Sandy,Corn,5,Medium,High,Millets
Loamy,Corn,9,High,Medium,Peas
Silty,Sugarcane,6,Low,Medium,Soybean
Sandy,Rice,5,Medium,Low,Cotton
Sandy,Flaxseed,6,High,High,Millets
Chalky,Soybean,3,High,High,Flaxseed
Sandy,Mustard,12,Low,Low,Mustard
Clay,Sesame,3,Medium,Medium,Rice
Sandy,Mustard,8,Low,Medium,Millets
Loamy,Sesame,10,High,Low,Sunflower
Clay,Soybean,20,Low,Medium,Soybean
Peaty,Sesame,8,Medium,Medium,Soybean
Peaty,Sugarcane,2,Medium,Low,Soybean
Sandy,Mustard,13,Medium,Medium,Mustard
Loamy,Mustard,9,Medium,Low,Sunflower
Peaty,Wheat,11,Medium,Medium,Lentils
Peaty,Wheat,7,High,Medium,Sesame
Chalky,Wheat,10,High,Medium,Barley
Silty,Lentils,13,Low,Low,Rice
Loamy,Sunflower,12,Low,Medium,Sunflower
Chalky,Sugarcane,7,Low,High,Flaxseed
Loamy,Sugarcane,19,Medium,Medium,Peas
Sandy,Lentils,6,Low,Low,Mustard
Chalky,Soybean,16,High,High,Flaxseed
Clay,Flaxseed,13,Low,Low,Cotton
Loamy,Corn,6,Low,Low,Peas
Clay,Flaxseed,12,High,High,Tea
Chalky,Lentils,13,Medium,High,Flaxseed
Clay,Maize,4,Medium,High,Lentils
Peaty,Chickpea,17,Medium,High,Soybean
Peaty,Mustard,2,High,High,Lentils
Silty,Sesame,19,Medium,Medium,Soybean
Chalky,Sesame,16,Medium,Medium,Oats
Loamy,Soybean,9,Low,Low,Peas
Clay,Sesame,9,Medium,Medium,Barley
Chalky,Soybean,13,Medium,Low,Flaxseed
Loamy,Chickpea,20,Low,Low,Sunflower
Chalky,Barley,11,Medium,Medium,Flaxseed
Chalky,Sunflower,18,High,Medium,Barley
Peaty,Soybean,7,Medium,Low,Lentils
Sandy,Chickpea,10,Low,High,Millets
Loamy,Peas,2,Low,Medium,Sunflower
Peaty,Lentils,10,Low,Low,Soybean
Sandy,Corn,11,High,High,Cotton
Chalky,Tomato,11,Low,Low,Barley
Chalky,Sugarcane,11,Low,Medium,Flaxseed
Chalky,Maize,16,Medium,Medium,Barley
Sandy,Sesame,18,Medium,High,Cotton
Peaty,Sunflower,14,High,Low,Lentils
Clay,Flaxseed,9,High,Medium,Potato
Silty,Lentils,12,Medium,Medium,Soybean
Silty,Cotton,12,High,Medium,Rice
Clay,Flaxseed,17,Medium,Medium,Rice
Chalky,Flaxseed,9,Low,Low,Flaxseed
Silty,Cotton,1,Low,Low,Tomato
Silty,Flaxseed,10,Medium,Medium,Tomato
Clay,Tomato,19,Low,High,Tomato
Chalky,Rice,7,Medium,High,Barley
Silty,Flaxseed,8,Low,Low,Tomato
Chalky,Mustard,9,Low,High,Barley
Loamy,Sesame,4,High,Low,Corn
Clay,Lentils,5,Medium,Medium,Groundnut
Sandy,Soybean,4,Low,Medium,Mustard
Sandy,Sugarcane,16,Medium,Low,Mustard
Sandy,Soybean,13,High,High,Millets
Loamy,Chickpea,7,Medium,Low,Corn
Chalky,Flaxseed,17,Low,Medium,Barley
Silty,Barley,1,Low,High,Tomato
Clay,Soybean,5,High,Low,Grapes
Peaty,Soybean,19,Low,Medium,Lentils
Peaty,Millets,9,High,Medium,Soybean
Chalky,Wheat,20,Medium,Medium,Oats
Loamy,Tomato,20,High,High,Corn
Chalky,Rice,14,Medium,Low,Oats
Peaty,Barley,11,Low,Medium,Sesame
Clay,Lentils,6,Medium,High,Orange
Clay,Barley,17,Medium,Low,Groundnut
Peaty,Mustard,13,Medium,High,Sesame
Sandy,Soybean,14,High,High,Millets
Peaty,Sesame,19,Low,Low,Soybean
Sandy,Peas,18,High,High,Cotton
Clay,Mustard,20,Medium,Low,Onion
Silty,Sunflower,9,Medium,Medium,Tomato
Chalky,Wheat,8,High,High,Oats
Sandy,Sunflower,16,Medium,Low,Mustard
Loamy,Corn,5,High,Low,Sunflower
Loamy,Sunflower,18,Low,Medium,Peas
Clay,Sunflower,13,Medium,Low,Potato
Chalky,Corn,15,Low,High,Oats
Sandy,Soybean,1,Low,Medium,Millets
Sandy,Barley,1,Medium,Low,Mustard
Peaty,Tomato,8,Low,Medium,Lentils
Loamy,Tomato,16,Low,High,Sunflower
Chalky,Soybean,5,High,Medium,Barley
Silty,Flaxseed,5,Low,Medium,Soybean
Loamy,Maize,3,High,Low,Corn
Silty,Chickpea,3,Low,Low,Tomato
Chalky,Corn,10,High,Low,Flaxseed
Clay,Soybean,1,Low,Low,Chickpea
Silty,Sesame,9,Medium,Low,Tomato
Loamy,Soybean,1,Low,Medium,Peas
Silty,Lentils,20,Medium,High,Rice
Silty,Corn,5,High,Medium,Rice
Chalky,Corn,14,Medium,Low,Flaxseed
Clay,Flaxseed,19,Low,High,Banana
Peaty,Tomato,7,High,Low,Soybean
Clay,Soybean,11,Medium,High,Maize
Peaty,Flaxseed,20,Medium,Medium,Sesame
Peaty,Cotton,2,Low,Medium,Lentils
Chalky,Flaxseed,14,Medium,Medium,Flaxseed
Clay,Wheat,16,Medium,High,Barley
Clay,Soybean,11,Medium,Medium,Tomato
Sandy,Chickpea,20,Low,High,Cotton
Sandy,Maize,6,High,Low,Cotton
Peaty,Maize,18,High,Low,Sesame
Clay,Cotton,5,Medium,Low,Brinjal
Loamy,Lentils,7,Low,High,Corn
Chalky,Mustard,18,High,High,Oats
Clay,Cotton,6,Low,High,Peas
Chalky,Sesame,17,High,Low,Barley
Clay,Sesame,12,Low,High,Groundnut
Peaty,Mustard,11,Low,Low,Sesame
Clay,Soybean,15,Low,Medium,Wheat
Silty,Barley,14,Low,Medium,Rice
Chalky,Flaxseed,13,High,Low,Flaxseed
Chalky,Maize,7,Medium,Low,Oats
Sandy,Corn,1,High,Low,Millets
Silty,Lentils,20,High,Low,Soybean
Chalky,Tomato,13,Low,Medium,Barley
Clay,Sesame,3,Low,Medium,Brinjal
Loamy,Lentils,13,Low,Low,Corn
Clay,Soybean,18,Medium,Low,Grapes
Silty,Corn,17,High,High,Rice
Chalky,Soybean,2,Low,Low,Barley
Chalky,Peas,11,Medium,Low,Oats
Peaty,Lentils,19,Medium,Medium,Sesame
Peaty,Wheat,4,High,High,Lentils
Clay,Sugarcane,18,High,Low,Tomato
Clay,Mustard,18,Low,Low,Millets
Clay,Soybean,6,Low,High,Sugarcane
Chalky,Wheat,13,Low,Low,Flaxseed
Loamy,Tomato,6,Medium,Medium,Peas
Loamy,Flaxseed,7,High,High,Corn
Chalky,Cotton,6,High,Medium,Barley
Peaty,Sugarcane,18,Low,High,Lentils
Silty,Tomato,12,Medium,Medium,Soybean
Peaty,Soybean,13,High,High,Soybean
Loamy,Lentils,8,Low,High,Sunflower
Clay,Lentils,14,Medium,High,Orange
Loamy,Tomato,15,High,Medium,Sunflower
Silty,Corn,15,High,Low,Tomato
Peaty,Lentils,12,Low,Medium,Lentils
Sandy,Rice,18,Low,Medium,Millets
Clay,Soybean,14,Low,Medium,Groundnut
Clay,Peas,3,Medium,High,Potato
Loamy,Soybean,11,Low,Low,Corn
Clay,Chickpea,8,High,Low,Grapes
Sandy,Tomato,16,High,High,Mustard
Chalky,Flaxseed,13,Low,High,Oats
Loamy,Chickpea,8,High,Medium,Sunflower
Chalky,Sunflower,6,Medium,Low,Flaxseed
Sandy,Lentils,6,Medium,High,Millets
Clay,Peas,19,High,Low,Potato
Loamy,Barley,16,Low,Medium,Peas
Clay,Corn,14,Low,Medium,Lentils
Silty,Flaxseed,2,Medium,Low,Rice
Clay,Flaxseed,12,High,Low,Tea
Chalky,Lentils,2,High,High,Oats
Chalky,Peas,5,Medium,Medium,Flaxseed
Chalky,Tomato,16,High,Medium,Barley
Chalky,Corn,9,High,Medium,Oats
Loamy,Soybean,20,High,Low,Sunflower
Sandy,Wheat,10,Low,Medium,Mustard
Clay,Corn,20,Low,Low,Apple
Silty,Maize,18,Low,High,Soybean
Peaty,Chickpea,11,Medium,Medium,Lentils
Sandy,Chickpea,14,High,Medium,Cotton
Sandy,Millets,15,Low,Low,Millets
Silty,Wheat,10,Low,Low,Rice
Silty,Mustard,19,Low,High,Tomato
Peaty,Chickpea,15,Medium,High,Sesame
Loamy,Soybean,13,Medium,Low,Peas
Loamy,Flaxseed,10,High,High,Peas
Silty,Soybean,6,Medium,Low,Rice
Clay,Sugarcane,11,Medium,Medium,Peas
Chalky,Tomato,18,High,High,Barley
Loamy,Corn,6,Low,Low,Peas
Peaty,Barley,9,Medium,Medium,Soybean
Clay,Sunflower,13,Medium,High,Sunflower
Loamy,Barley,19,Low,Low,Peas
Chalky,Peas,16,Low,Medium,Barley
Clay,Maize,3,Low,High,Peas
Loamy,Flaxseed,16,High,High,Peas
Loamy,Lentils,1,Low,Low,Peas
Chalky,Mustard,15,High,Low,Flaxseed
Peaty,Lentils,8,Medium,Low,Lentils
Chalky,Sesame,18,High,Low,Oats
Silty,Mustard,14,Medium,High,Tomato
Sandy,Soybean,4,Medium,Low,Cotton
Clay,Wheat,12,Low,Medium,Oats
Chalky,Soybean,18,Medium,High,Oats
Clay,Wheat,4,High,High,Sunflower
Silty,Rice,1,Low,High,Rice
Silty,Sunflower,16,High,High,Soybean
Sandy,Mustard,2,Medium,Low,Cotton
Loamy,Peas,16,High,Low,Peas
Peaty,Mustard,13,High,High,Lentils
Loamy,Soybean,6,Low,Medium,Peas
Peaty,Lentils,13,High,High,Soybean
